NAME,SHORTNAMES,APIVERSION,NAMESPACED,KIND,VERBS,,,,,,,,,
bindings,,v1,TRUE,Binding,create,,,,,,,,,
componentstatuses,cs,v1,FALSE,ComponentStatus,get,list,,,,,,,,
configmaps,cm,v1,TRUE,ConfigMap,create,delete,deletecollection,get,list,patch,update,watch,,
endpoints,ep,v1,TRUE,Endpoints,create,delete,deletecollection,get,list,patch,update,watch,,
events,ev,v1,TRUE,Event,create,delete,deletecollection,get,list,patch,update,watch,,
limitranges,limits,v1,TRUE,LimitRange,create,delete,deletecollection,get,list,patch,update,watch,,
namespaces,ns,v1,FALSE,Namespace,create,delete,get,list,patch,update,watch,,,
nodes,no,v1,FALSE,Node,create,delete,deletecollection,get,list,patch,update,watch,,
persistentvolumeclaims,pvc,v1,TRUE,PersistentVolumeClaim,create,delete,deletecollection,get,list,patch,update,watch,,
persistentvolumes,pv,v1,FALSE,PersistentVolume,create,delete,deletecollection,get,list,patch,update,watch,,
pods,po,v1,TRUE,Pod,create,delete,deletecollection,get,list,patch,update,watch,,
podtemplates,,v1,TRUE,PodTemplate,create,delete,deletecollection,get,list,patch,update,watch,,
replicationcontrollers,rc,v1,TRUE,ReplicationController,create,delete,deletecollection,get,list,patch,update,watch,,
resourcequotas,quota,v1,TRUE,ResourceQuota,create,delete,deletecollection,get,list,patch,update,watch,,
secrets,,v1,TRUE,Secret,create,delete,deletecollection,get,list,patch,update,watch,,
serviceaccounts,sa,v1,TRUE,ServiceAccount,create,delete,deletecollection,get,list,patch,update,watch,impersonate,
services,svc,v1,TRUE,Service,create,delete,deletecollection,get,list,patch,update,watch,,
mutatingwebhookconfigurations,,admissionregistration.k8s.io/v1,FALSE,MutatingWebhookConfiguration,create,delete,deletecollection,get,list,patch,update,watch,,
validatingwebhookconfigurations,,admissionregistration.k8s.io/v1,FALSE,ValidatingWebhookConfiguration,create,delete,deletecollection,get,list,patch,update,watch,,
customresourcedefinitions,"crd,crds",apiextensions.k8s.io/v1,FALSE,CustomResourceDefinition,create,delete,deletecollection,get,list,patch,update,watch,,
apiservices,,apiregistration.k8s.io/v1,FALSE,APIService,create,delete,deletecollection,get,list,patch,update,watch,,
controllerrevisions,,apps/v1,TRUE,ControllerRevision,create,delete,deletecollection,get,list,patch,update,watch,,
daemonsets,ds,apps/v1,TRUE,DaemonSet,create,delete,deletecollection,get,list,patch,update,watch,,
deployments,deploy,apps/v1,TRUE,Deployment,create,delete,deletecollection,get,list,patch,update,watch,,
replicasets,rs,apps/v1,TRUE,ReplicaSet,create,delete,deletecollection,get,list,patch,update,watch,,
statefulsets,sts,apps/v1,TRUE,StatefulSet,create,delete,deletecollection,get,list,patch,update,watch,,
tokenreviews,,authentication.k8s.io/v1,FALSE,TokenReview,create,,,,,,,,,
localsubjectaccessreviews,,authorization.k8s.io/v1,TRUE,LocalSubjectAccessReview,create,,,,,,,,,
selfsubjectaccessreviews,,authorization.k8s.io/v1,FALSE,SelfSubjectAccessReview,create,,,,,,,,,
selfsubjectrulesreviews,,authorization.k8s.io/v1,FALSE,SelfSubjectRulesReview,create,,,,,,,,,
subjectaccessreviews,,authorization.k8s.io/v1,FALSE,SubjectAccessReview,create,,,,,,,,,
horizontalpodautoscalers,hpa,autoscaling/v2,TRUE,HorizontalPodAutoscaler,create,delete,deletecollection,get,list,patch,update,watch,,
cronjobs,cj,batch/v1,TRUE,CronJob,create,delete,deletecollection,get,list,patch,update,watch,,
jobs,,batch/v1,TRUE,Job,create,delete,deletecollection,get,list,patch,update,watch,,
certificatesigningrequests,csr,certificates.k8s.io/v1,FALSE,CertificateSigningRequest,create,delete,deletecollection,get,list,patch,update,watch,,
leases,,coordination.k8s.io/v1,TRUE,Lease,create,delete,deletecollection,get,list,patch,update,watch,,
endpointslices,,discovery.k8s.io/v1,TRUE,EndpointSlice,create,delete,deletecollection,get,list,patch,update,watch,,
events,ev,events.k8s.io/v1,TRUE,Event,create,delete,deletecollection,get,list,patch,update,watch,,
flowschemas,,flowcontrol.apiserver.k8s.io/v1beta3,FALSE,FlowSchema,create,delete,deletecollection,get,list,patch,update,watch,,
prioritylevelconfigurations,,flowcontrol.apiserver.k8s.io/v1beta3,FALSE,PriorityLevelConfiguration,create,delete,deletecollection,get,list,patch,update,watch,,
helmchartconfigs,,helm.cattle.io/v1,TRUE,HelmChartConfig,delete,deletecollection,get,list,patch,create,update,watch,,
helmcharts,,helm.cattle.io/v1,TRUE,HelmChart,delete,deletecollection,get,list,patch,create,update,watch,,
addons,,k3s.cattle.io/v1,TRUE,Addon,delete,deletecollection,get,list,patch,create,update,watch,,
ingressclasses,,networking.k8s.io/v1,FALSE,IngressClass,create,delete,deletecollection,get,list,patch,update,watch,,
ingresses,ing,networking.k8s.io/v1,TRUE,Ingress,create,delete,deletecollection,get,list,patch,update,watch,,
networkpolicies,netpol,networking.k8s.io/v1,TRUE,NetworkPolicy,create,delete,deletecollection,get,list,patch,update,watch,,
runtimeclasses,,node.k8s.io/v1,FALSE,RuntimeClass,create,delete,deletecollection,get,list,patch,update,watch,,
poddisruptionbudgets,pdb,policy/v1,TRUE,PodDisruptionBudget,create,delete,deletecollection,get,list,patch,update,watch,,
clusterrolebindings,,rbac.authorization.k8s.io/v1,FALSE,ClusterRoleBinding,create,delete,deletecollection,get,list,patch,update,watch,,
clusterroles,,rbac.authorization.k8s.io/v1,FALSE,ClusterRole,create,delete,deletecollection,get,list,patch,update,watch,escalate,bind
rolebindings,,rbac.authorization.k8s.io/v1,TRUE,RoleBinding,create,delete,deletecollection,get,list,patch,update,watch,,
roles,,rbac.authorization.k8s.io/v1,TRUE,Role,create,delete,deletecollection,get,list,patch,update,watch,escalate,bind
priorityclasses,pc,scheduling.k8s.io/v1,FALSE,PriorityClass,create,delete,deletecollection,get,list,patch,update,watch,,
csidrivers,,storage.k8s.io/v1,FALSE,CSIDriver,create,delete,deletecollection,get,list,patch,update,watch,,
csinodes,,storage.k8s.io/v1,FALSE,CSINode,create,delete,deletecollection,get,list,patch,update,watch,,
csistoragecapacities,,storage.k8s.io/v1,TRUE,CSIStorageCapacity,create,delete,deletecollection,get,list,patch,update,watch,,
storageclasses,sc,storage.k8s.io/v1,FALSE,StorageClass,create,delete,deletecollection,get,list,patch,update,watch,,
volumeattachments,,storage.k8s.io/v1,FALSE,VolumeAttachment,create,delete,deletecollection,get,list,patch,update,watch,,
users,,rbac.authorization.k8s.io/v1,,,impersonate,,,,,,,,,
groups,,rbac.authorization.k8s.io/v1,,,impersonate,,,,,,,,,